name,total_time,created_at,name
"Hopkins Cutout",4.0,"2016-08-29 19:46:49.315330",10.161.159.150
"Hopkins Cutout",4.0,"2016-08-29 19:46:57.586808",10.161.159.150
"Hopkins Cutout",12.051,"2016-08-29 19:51:42.099282",10.161.159.150
"Hopkins Cutout",8.0357,"2016-08-29 19:51:50.426332",10.161.159.150
"Get Data",7.5339,"2016-08-29 20:17:04.129913",10.161.159.150
"Convert to numpy",0.1168,"2016-08-29 20:19:31.963271",10.161.159.150
"Convert to numpy",4.032,"2016-08-29 20:57:29.592042",10.161.159.150
"Convert to numpy",0.2217,"2016-08-29 21:00:25.441796",10.161.159.150
"Convert to numpy",0.2209,"2016-08-29 21:04:20.387839",10.161.159.150
"Convert to numpy",0.3204,"2016-08-29 21:06:38.181711",10.161.159.150
"Convert to numpy",0.2218,"2016-08-29 21:09:04.594155",10.161.159.150
"Convert to numpy",0.3247,"2016-08-29 21:18:41.921962",10.161.159.150
"Convert to numpy",0.4292,"2016-08-29 21:25:38.098026",10.161.159.150
"Convert to numpy",0.4278,"2016-08-29 21:27:32.037017",10.161.159.150
"Convert to numpy",0.6301,"2016-08-29 21:27:52.138072",10.161.159.150
"Convert to numpy",0.3285,"2016-08-29 21:28:59.647351",10.161.159.150
"Convert to numpy",0.3262,"2016-08-29 21:30:08.259285",10.161.159.150
"Convert to numpy",0.2214,"2016-08-29 21:31:20.384433",10.161.159.150
"Test ZFP at Hop",0.2211,"2016-08-30 16:12:19.074940",10.161.159.150
"Test ZFP at Hop",0.1164,"2016-08-30 16:15:11.277456",10.161.159.150
"Test ZFP at Hop",0.2141,"2016-08-30 16:16:45.982309",10.161.159.150
"Test ZFP at Hop",0.2219,"2016-08-30 16:18:35.507734",10.161.159.150
"Test ZFP at Hop",0.2159,"2016-08-30 17:35:25.341978",10.161.159.150
"Test ZFP at Hop",0.2218,"2016-08-30 17:36:56.566437",10.161.159.150
"Test ZFP at Hop",0.22,"2016-08-30 18:58:17.621388",10.161.159.150
"Test Dilated thresh",0.0,"2016-08-31 16:34:45.484549",10.161.159.150
"Test Dilated thresh",0.0,"2016-08-31 16:36:20.412935",10.161.159.150
"Test Dilated thresh",0.0,"2016-08-31 16:37:07.444402",10.161.159.150
"Test Dilated thresh",0.0,"2016-08-31 16:45:27.734343",10.161.159.150
"Test Dilated thresh",0.0,"2016-08-31 16:45:53.332142",10.161.159.150
"Test Dilated thresh",0.5204,"2016-08-31 17:04:03.067244",10.161.159.150
"Test Dilated thresh",0.5212,"2016-08-31 17:05:18.722668",10.161.159.150
"Test Mesh",0.524,"2016-08-31 18:11:33.460530",10.161.159.150
"Los Alamos npy conversion",6.4627,"2016-09-01 20:49:43.412173",cn60
"Los Alamos npy conversion",7.6894,"2016-09-01 20:49:44.558049",cn58
"Los Alamos Test",8.0854,"2016-09-01 20:49:44.935152",cn129
"Los Alamos npy conversion",5.7733,"2016-09-01 20:49:50.777192",cn59
"Los Alamos npy conversion",124.1562,"2016-09-01 20:51:41.088101",cn62
"LA Test ZFP",3.6703,"2016-09-06 19:56:57.371931",cn12
"LA Test ZFP",2.5844,"2016-09-06 20:50:56.822107",cn12
"LA Test ZFP",3.6664,"2016-09-06 21:18:28.247121",cn12
"LANL ZFP 16 nodes",123.5892,"2016-09-06 21:20:28.624028",cn48
"LANL ZFP 16 nodes",168.4305,"2016-09-06 21:21:13.210634",cn36
"LANL ZFP 16 nodes",169.775,"2016-09-06 21:21:14.442137",cn31
"LANL ZFP 16 nodes",170.3038,"2016-09-06 21:21:14.907510",cn11
"LANL ZFP 16 nodes",167.587,"2016-09-06 21:21:15.877495",cn12
"LA Test ZFP",2.8665,"2016-09-06 21:56:52.491491",cn12
"LANL ZFP 16 nodes",120.9571,"2016-09-06 21:58:50.905503",cn47
"LANL ZFP 16 nodes",123.2151,"2016-09-06 21:58:53.139691",cn46
"LANL ZFP 16 nodes",125.0899,"2016-09-06 21:58:55.093572",cn49
"LANL ZFP 16 nodes",131.4738,"2016-09-06 21:59:01.441503",cn48
"LANL ZFP 16 nodes",169.1798,"2016-09-06 21:59:38.969754",cn34
"LANL ZFP 16 nodes",171.8427,"2016-09-06 21:59:41.543405",cn13
"LANL ZFP 16 nodes",172.614,"2016-09-06 21:59:42.273115",cn11
"LANL ZFP 16 nodes",170.3949,"2016-09-06 21:59:42.958630",cn12
"LANL ZFP 16 nodes",173.3538,"2016-09-06 21:59:43.189429",cn36
"LANL ZFP 16 nodes",173.6023,"2016-09-06 21:59:43.320760",cn31
"LA Test ZFP",3.0506,"2016-09-06 22:16:47.460269",cn12
"LANL ZFP 16 nodes",124.0581,"2016-09-06 22:18:48.790060",cn47
